"FriendlyName","Publisher","LatestVersionPattern","DownlevelPattern","ValidatedPattern"
"Adobe Acrobat DC","Adobe","^Adobe Acrobat DC 18$","^Adobe Acrobat (Pro 10|DC 15)$","True"
"Adobe AIR","Adobe","^Adobe Systems Incorporated Adobe AIR$","NULL","False"
"Adobe Creative Cloud","Adobe","^Adobe Systems Incorporated Creative Cloud 1$","NULL","False"
"Adobe LiveCycle","Adobe","^Adobe Adobe LiveCycle ES4$","NULL","False"
"Attachmate Reflection","Attachmate","^Attachmate Corporation Attachmate Reflection for IBM 2014$","^Attachmate Corporation Attachmate Reflection for IBM 2011$","False"
"Attachmate EXTRA!","Attachmate","^Attachmate EXTRA! X-treme 9$","NULL","False"
"AiSquared ZoomText","AiSquared","^AiSquared ZoomText 11$","^AiSquared ZoomText (10|10\.1)$","False"
"Articulate Replay","Articulate","^Articulate Replay 1$","NULL","False"
"Articulate Storyline","Articulate","^Articulate Storyline 2$","^Articulate Articulate Storyline 1$","False"
"Articulate Studio","Articulate","^Articulate Studio 13$","^Articulate Articulate Studio 2009$","False"
"Articulate 360","Articulate","^Articulate Global, Inc. Articulate 360$","NULL","False"
"Autodesk AutoCAD","Autodesk","^Autodesk AutoCAD Architecture 2018$","NULL","False"
"Avaya CMS Supervisor","Avaya","^Avaya CMS Supervisor 18$","NULL","False"
"Avaya One-X","Avaya","^Avaya one-X","NULL","False"
"CareerScope","VRI","^CareerScope 10$","NULL","False"
"Cisco WebEx Tools","Cisco","^Cisco WebEx LLC Webex Productivity Tools 3$","NULL","False"
"Citrix Receiver","Citrix","^Citrix Receiver","NULL","False"
"Ecrion Design Studio","Ecrion Software Inc.","^Ecrion Software Inc. Ecrion Design Studio 2016$","NULL","False"
"Ecrion XF Designer","Ecrion Software Inc.","^Ecrion Software Inc. Ecrion XF Designer 2011$","NULL","False"
"ESRI ArcGIS","ESRI","^ESRI ArcGIS 10$","NULL","False"
"Evolis Card Printer Badgy","Evolis","^Evolis Card Printer Badgy Premium Suite","NULL","False"
"F5 Big-IP Edge Client","F5 Networks","^F5 Networks Big-IP Edge Client","NULL","False"
"Free3of9","ESD","^Employment Security Department Free3of9","NULL","False"
"Google Earth","Google","^Google Earth Pro$","^Google Earth$","False"
"GoToMeeting","Citrix","^Citrix GoToMeeting 8$","NULL","False"
"Intuit Quickbooks","Intuit","^Intuit Quickbooks 2017$","^Intuit Quickbooks 2012$","False"
"Intuit Quickbooks Pro","Intuit","^Intuit Quickbooks Pro 2012$","NULL","False"
"Intuit Quickbooks Premier","Intuit","^Intuit Inc. Quickbooks Premier 2017$","^Intuit Quickbooks Premier 2012$","False"
"JAWS 2018","Freedom Scientific","^Freedom Scientific Jaws 2018$","NULL","False"
"KeePass","Dominik Reichl","^Dominik Reichl KeePass Password Safe$","NULL","False"
"Kofax Capture","Kofax","^Kofax Capture 10$","NULL","False"
"Microsoft Office 365","Microsoft","^Microsoft Office 365 ProPlus( - en-us)?$","NULL","True"
"Microsoft Project Professional","Microsoft","^Microsoft Project Professional 2016( - en-us)?$","^Microsoft Project Professional 2013( - en-us)?$","True"
"Microsoft Sharepoint Designer","Microsoft","^Microsoft Sharepoint Designer 2013$","^Microsoft Sharepoint Designer (2007|2010)$","False"
"Microsoft SQL Server","Microsoft","^Microsoft SQL Server 2017$","^Microsoft SQL Server (2008|2012|2014|2016)$","False"
"Microsoft Visio Professional","Microsoft","^Microsoft Visio Professional 2016( - en-us)?$","^Microsoft Visio Professional 2013( - en-us)?$","True"
"Microsoft Visual Studio Enterprise (MSDN)","Microsoft","^Microsoft Visual Studio Enterprise with MSDN 2015$","NULL","False"
"Microsoft Visual Studio Professional","Microsoft","^Microsoft Visual Studio Professional Edition 2010$","^Microsoft Visual Studio Professional Edition 2008$","False"
"Microsoft Visual Studio Professional (MSDN)","Microsoft","^Microsoft Visual Studio Professional with MSDN 2015$","^Microsoft Visual Studio Professional with MSDN 2013$","False"
"Microsoft Visual Studio Ultimate (MSDN)","Microsoft","^Microsoft Visual Studio Ultimate with MSDN 2013$","NULL","False"
"Nuance Dragon Naturally Speaking","Nuance","^Nuance Communications Inc. Dragon Naturally Speaking 15$","^Nuance Dragon Naturally Speaking (10|11|12|13|14)$","True"
"PitStop","Enfocus","^Enfocus PitStop 13$","NULL","False"
"RStudio","RStudio","^RStudio","NULL","False"
"SCCM Support Center","Microsoft","^Microsoft Configuration Manager Support Center 5$","NULL","False"
"Slack","Slack Technologies","^Slack Technologies Slack","NULL","False"
"Tableau Desktop","Tableau","^Tableau Software Tableau Desktop 10.5(\.[1-9]{1})?$","^Tableau Software Tableau Desktop (9|10|10\.3|10\.4)$","True"
"Tableau Public","Tableau","^Tableau Software Tableau Public 10.5$","^Tableau Software Tableau Public 10$","True"
"TechSmith Camtasia","TechSmith","^TechSmith Corporation Camtasia 9$","NULL","False"
"TechSmith SnagIt","TechSmith","^TechSmith Corporation Techsmith Snagit 2018$","^TechSmith Corporation Techsmith Snagit 13$","False"
"Venus 1500","Daktronics","^Daktronics, Inc Venus 1500 4$","NULL","False"
"WinWay Resume Deluxe","WinWay","^WinWay Winway Resume Deluxe 14$","NULL","False"
